id,class,artists,name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,time_signature
0V8FYVlBFuXXTIvRnMbZyS,hit,Miley Cyrus,The Climb,0.0834,0.327,236067,0.588,0.0,0.104,-6.611,0.0336,161.074,0.329,1,4,4
1kMuU3TNQvHbqvXCWBodmP,hit,Lil Wayne Featuring Drake,Right Above It,0.0435,0.376,271947,0.841,0.0,0.578,-4.348,0.356,76.052,0.463,0,3,4
3DrjZArsPsoqbLzUZZV1Id,hit,Taylor Swift,Back To December,0.117,0.529,293027,0.67,0.0,0.334,-4.663,0.0303,141.893,0.286,1,2,4
1RvQQGwaPipiNgz8RXAKA8,non-hit,Taylor Swift,Red,0.0773,0.602,220827,0.896,8.87e-05,0.091,-4.267,0.0437,124.978,0.641,0,1,4
5ka2ajep9OAvU5Sgduhiex,hit,Lady Gaga,Applause,0.0265,0.669,212333,0.78,1.63e-06,0.143,-4.287,0.053,139.945,0.738,0,7,4
4nVBt6MZDDP6tRVdQTgxJg,hit,One Direction,Story Of My Life,0.225,0.6,245493,0.663,0.0,0.119,-5.802,0.0477,121.07,0.286,1,3,4
1z3Q0Vv26kdsSc8KshjNWX,hit,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,0.0365,0.693,224680,0.866,0.00112,0.361,-4.448,0.0428,149.946,0.19,1,8,4
17Q87zeXgsAi9iQQbMu9v0,non-hit,Drake,Summer Sixteen,0.00354,0.594,202451,0.46,2.71e-05,0.147,-7.607,0.382,146.274,0.0541,1,1,4
6PCUP3dWmTjcTtXY02oFdT,hit,Ed Sheeran,Castle On The Hill,0.0232,0.461,261154,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,0.471,1,2,4
2UciqgwVDwro0fev3MFbxJ,non-hit,J. Cole,ATM,0.115,0.719,216727,0.497,0.0,0.0898,-7.661,0.681,81.651,0.345,1,8,4
7lWUJpax919G4JdaFEVmCy,hit,Ke$ha Featuring 3OH!3,Blah Blah Blah,0.0843,0.752,172053,0.836,0.000425,0.424,-3.173,0.115,120.003,0.519,1,10,4
0yQw3d0iQDjMrxaVHFv77J,non-hit,B.o.B Featuring Lil Wayne,Strange Clouds,0.0607,0.531,226293,0.665,0.0,0.131,-6.672,0.286,73.726,0.8,0,8,4
0L4YCNRfXAoTvdpWeH2RGj,non-hit,Taylor Swift,Begin Again,0.199,0.53,237613,0.526,3.52e-06,0.232,-8.349,0.0263,79.025,0.323,1,7,4
6or1bKJiZ06IlK0vFvY75k,non-hit,Eminem,Rap God,0.397,0.708,363521,0.843,0.0,0.799,-2.66,0.314,148.14,0.625,1,7,4
6I6NX6tjGsxFAsIfGzY9lJ,non-hit,J. Cole,Deja Vu,0.352,0.657,264747,0.421,0.000218,0.187,-11.378,0.412,174.063,0.181,1,9,4
15vzANxN8G9wWfwAJLLMCg,hit,The Chainsmokers,Paris,0.0243,0.646,221520,0.644,0.0,0.0888,-6.763,0.031,99.999,0.251,1,2,4
4haJoBPbPj9QFKNpp9e8kx,non-hit,Drake,Diplomatic Immunity,0.00531,0.654,255867,0.839,0.0,0.308,-5.076,0.443,74.886,0.549,0,9,4
77UjLW8j5UAGAGVGhR5oUK,hit,The Weeknd & Kendrick Lamar,Pray For Me,0.0762,0.735,211440,0.677,2.17e-05,0.111,-4.979,0.093,100.584,0.188,1,2,4
7dt6x5M1jzdTEt8oCbisTK,hit,Post Malone,Better Now,0.331,0.68,231267,0.578,0.0,0.135,-5.804,0.04,145.038,0.341,1,10,4
2r6DdaSbkbwoPzuK6NjLPn,non-hit,Miley Cyrus,Can't Be Tamed,0.0287,0.63,168213,0.91,0.0,0.196,-2.919,0.144,116.98,0.743,0,11,4
1nYWTzy5zu3zEPNgB1sItW,non-hit,Taylor Swift,Speak Now,0.095,0.709,240760,0.599,0.0,0.0973,-3.734,0.0304,118.975,0.735,1,7,4
6VObnIkLVruX4UVyxWhlqm,non-hit,Adele,Skyfall,0.417,0.346,286480,0.552,0.0,0.114,-6.864,0.0282,75.881,0.0789,0,0,4
2iuZJX9X9P0GKaE93xcPjk,hit,Maroon 5,Sugar,0.0591,0.748,235493,0.788,0.0,0.0863,-7.055,0.0334,120.076,0.884,1,1,4
3KbFtYPyVP6C7BQVgH2cCf,non-hit,Kelly Clarkson,Piece By Piece,0.904,0.561,212280,0.245,0.0,0.0933,-6.372,0.0344,109.558,0.402,1,1,4
5mCPDVBb16L4XQwDdbRUpz,hit,Drake,Passionfruit,0.256,0.809,298941,0.463,0.085,0.109,-11.377,0.0396,111.98,0.364,1,11,4
7wBJfHzpfI3032CSD7CE2m,non-hit,Travis Scott,Stargazing,0.00947,0.487,270715,0.789,4.05e-06,0.189,-3.69,0.044,150.007,0.0564,1,8,4
0SiywuOBRcynK0uKGWdCnn,hit,Lady Gaga,Bad Romance,0.00314,0.696,294573,0.921,5.24e-05,0.0842,-3.755,0.0363,119.001,0.714,1,0,4
0z5ZPs57J2KERwM1tBM2GF,hit,Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot,0.000707,0.365,248587,0.751,0.0,0.318,-5.429,0.304,79.119,0.604,1,2,4
124NFj84ppZ5pAxTuVQYCQ,hit,Drake Featuring Rihanna,Take Care,0.0267,0.629,277387,0.515,1.22e-05,0.0888,-10.358,0.265,121.845,0.299,0,0,4
1oHNvJVbFkexQc0BpQp7Y4,hit,Nicki Minaj,Starships,0.135,0.747,210627,0.716,0.0,0.251,-2.457,0.075,125.008,0.751,0,11,4
7BKLCZ1jbUBVqRi2FVlTVw,hit,The Chainsmokers Featuring Halsey,Closer,0.414,0.748,244960,0.524,0.0,0.111,-5.599,0.0338,95.01,0.661,1,8,4
2bjwRfXMk4uRgOD9IBYl9h,non-hit,Drake Featuring Quavo & Travis Scott,Portland,0.0172,0.925,236615,0.443,0.0,0.276,-8.216,0.264,136.078,0.35,1,1,4
09ts3GnICqYEU5PkQCpJK3,hit,Justin Timberlake Featuring Chris Stapleton,Say Something,0.103,0.707,278893,0.632,1.09e-05,0.0841,-7.031,0.0789,97.04,0.372,1,10,4
6G8kHiVZ1jW7vHMPVRNZU0,non-hit,Drake Featuring Michael Jackson,Don't Matter To Me,0.493,0.826,245787,0.318,0.0131,0.11,-12.391,0.0574,103.002,0.138,1,10,4
3KkXRkHbMCARz0aVfEt68P,non-hit,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),0.556,0.76,158040,0.479,0.0,0.0703,-5.574,0.0466,89.911,0.913,1,2,4
4B3RmT3cGvh8By3WY9pbIx,non-hit,Demi Lovato,Skyscraper,0.148,0.573,221293,0.581,0.0,0.128,-3.325,0.0276,103.82,0.188,1,7,4
3NLnwwAQbbFKcEcV8hDItk,hit,One Direction,Perfect,0.0598,0.647,230333,0.823,0.0,0.119,-5.231,0.0762,99.933,0.396,1,2,4
7l94dyN2hX9c6wWcZQuOGJ,hit,Ariana Grande,Dangerous Woman,0.0529,0.662,235947,0.602,0.0,0.356,-5.369,0.0401,133.969,0.29,0,4,3
28GUjBGqZVcAV4PHSYzkj2,hit,B.o.B,So Good,0.0403,0.66,213253,0.9,0.0,0.219,-5.02,0.14,85.51,0.591,1,7,4
6twW4ma6w0mOeejejPK0nY,non-hit,One Direction,Diana,0.0604,0.549,184667,0.868,0.0,0.137,-4.319,0.0614,171.96,0.755,1,2,4
5CXnIPD6rTjszYYQm6fY2P,hit,Florida Georgia Line,Dirt,0.0638,0.547,230587,0.878,7.08e-06,0.106,-4.224,0.0451,121.973,0.592,1,2,4
0lnIJmgcUpEpe4AZACjayW,hit,Beyonce,Sorry,0.00175,0.775,232560,0.598,4.44e-06,0.253,-7.274,0.0535,129.988,0.356,1,2,4
1CwNogTShsnsn1C8UhRmYX,non-hit,Katy Perry,Rise,0.0468,0.553,203475,0.639,0.0,0.107,-6.445,0.0458,101.418,0.442,1,11,4
3fpVWegR6YOS1Yk5HSMYIq,non-hit,Post Malone,Paranoid,0.038,0.625,221787,0.536,2.31e-05,0.167,-5.428,0.0776,159.914,0.253,1,0,4
3U21A07gAloCc4P7J8rxcn,non-hit,Kanye West,All Mine,0.123,0.925,145507,0.31,0.0,0.0931,-6.531,0.291,121.927,0.291,0,11,4
6lV2MSQmRIkycDScNtrBXO,hit,B.o.B Featuring Hayley Williams,Airplanes,0.11,0.66,180480,0.867,0.0,0.0368,-4.285,0.116,93.033,0.377,0,6,4
3DK6m7It6Pw857FcQftMds,non-hit,Kanye West Featuring Pusha T,Runaway,0.218,0.571,547733,0.568,0.0021,0.512,-3.827,0.0703,86.986,0.109,0,1,4
2o5mwv7hvas1jdUg14Nihv,hit,Jason Aldean,Take A Little Ride,0.044,0.472,187613,0.866,0.0,0.213,-3.771,0.0413,163.867,0.775,1,2,4
2iJuuzV8P9Yz0VSurttIV5,hit,will.i.am & Britney Spears,Scream & Shout,0.019,0.772,283400,0.685,8.96e-05,0.131,-6.849,0.0696,130.033,0.501,1,5,4
5HJqpDspKDKwQpLjvkcIsD,hit,Jason Aldean,Burnin' It Down,0.305,0.681,219160,0.795,9.41e-06,0.109,-6.652,0.049,135.939,0.64,1,6,4
1EQn3Uc5AyUXoiPLeyCrrg,non-hit,Taylor Swift,Ours,0.537,0.608,237920,0.569,0.0,0.097,-7.227,0.0284,159.845,0.238,1,0,4
7EQGXaVSyEDsCWKmUcfpLk,hit,Ke$ha,Die Young,0.00498,0.711,211920,0.7,0.000125,0.215,-4.805,0.046,128.001,0.801,0,1,4
5zyCYmiaVE5y26EZuwZbsw,non-hit,Taylor Swift,State Of Grace,0.000197,0.588,295187,0.825,0.00138,0.0885,-5.882,0.0328,129.968,0.397,1,4,4
5XKXMWPACPq51OiqzxenZo,hit,Lady Gaga Featuring R. Kelly,Do What U Want,0.345,0.778,216573,0.801,1.18e-06,0.0881,-4.65,0.086,97.47,0.534,1,9,4
2Bs4jQEGMycglOfWPBqrVG,non-hit,One Direction,Steal My Girl,0.00433,0.536,228133,0.768,0.0,0.114,-5.948,0.0347,77.217,0.545,0,10,4
0B08s1tLWCXoFmGP0vIubM,non-hit,The Carters,Apes**t,0.016,0.698,264853,0.783,0.0,0.176,-6.503,0.266,160.034,0.378,1,2,4
63TyoT9Ee03rQxv8xmdJ2l,non-hit,Machine Gun Kelly,Rap Devil,0.217,0.895,286117,0.839,3e-06,0.239,-4.512,0.227,149.951,0.756,1,0,4
0dIoGTQXDh1wVnhIiSyYEa,hit,Cardi B Featuring 21 Savage,Bartier Cardi,0.00111,0.908,224285,0.524,0.000678,0.383,-7.955,0.181,138.015,0.109,1,1,4
0bhnUFDQFCEHCBlsQfHnj5,non-hit,J. Cole,Photograph,0.0299,0.825,218954,0.487,0.0,0.0868,-6.416,0.233,105.05,0.372,1,1,3
2VdT56BGpdqNHUgOe1j5vc,non-hit,Post Malone,Rich & Sad,0.198,0.599,206453,0.571,0.0,0.0969,-4.998,0.0665,151.974,0.285,1,2,4
0Y7di9ZCmB6Elad5WISaPc,non-hit,Lil Wayne,Dedicate,0.033,0.879,189909,0.662,0.0,0.716,-6.162,0.309,117.975,0.723,1,2,4
6K8qKeWo5MsFED7wCR6Kop,hit,Ed Sheeran,Sing,0.304,0.818,235382,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,0.939,0,8,4
12KUFSHFgT0XCoiSlvdQi4,hit,Ariana Grande Featuring Zedd,Break Free,0.0064,0.687,214840,0.702,4.35e-05,0.204,-5.324,0.0455,129.956,0.284,0,7,4
79reBHqpRoWXaQbjBBY3UC,non-hit,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",All Day,0.0739,0.861,310907,0.651,0.0,0.211,-4.718,0.111,122.985,0.421,0,9,4
56ZrTFkANjeAMiS14njg4E,non-hit,Lady Gaga,Perfect Illusion,0.0012,0.613,182000,0.857,0.0,0.358,-5.492,0.0366,124.987,0.664,0,1,4
5VuxWXbt7XENQCtE9TzpTv,non-hit,Post Malone Featuring Swae Lee,Spoil My Night,0.341,0.672,194560,0.717,2.4e-05,0.106,-2.714,0.034,160.981,0.225,1,1,4
208YIVdNhPbFBPWknbRdyN,non-hit,"Jay-Z, Bono, The Edge & Rihanna",Stranded (Haiti Mon Amour),0.0695,0.596,261669,0.583,0.835,0.105,-14.99,0.0354,90.049,0.499,0,11,4
6nek1Nin9q48AVZcWs9e9D,hit,Coldplay,Paradise,0.0522,0.449,278719,0.585,8.49e-05,0.0833,-6.762,0.0268,139.627,0.203,1,5,4
0Nw8hv79MLJa1yjtsEgz08,non-hit,Taylor Swift,Ronan,0.646,0.565,265307,0.255,0.0,0.127,-10.152,0.0314,57.964,0.174,1,0,4
1z9kQ14XBSN0r2v6fx4IdG,hit,Rihanna,Diamonds,0.00125,0.564,225147,0.71,0.0,0.109,-4.92,0.0461,91.972,0.393,0,11,4
5HGibWoxnkYSkl6mHmAlOE,hit,Luke Bryan,That's My Kind Of Night,0.0571,0.661,190187,0.751,0.0,0.105,-2.909,0.0481,109.995,0.875,1,7,4
2HB1jDQn9hCojKIr6Yfhze,hit,A Great Big World & Christina Aguilera,Say Something,0.867,0.453,229400,0.146,3.49e-06,0.0945,-8.976,0.0343,137.905,0.0915,1,2,3
1JCCdiru7fhstOIF4N7WJC,hit,5 Seconds Of Summer,Amnesia,0.0343,0.594,237248,0.497,0.0,0.162,-5.26,0.0303,101.671,0.101,1,2,4
23NWj2izXAJ4yL6Nah73wf,hit,Drake Featuring The Throne,Pop Style,0.179,0.796,209453,0.488,7.94e-06,0.104,-9.093,0.176,133.086,0.0648,1,11,4
762UXiwEHYY97VL45sAUPR,non-hit,David Guetta Featuring Justin Bieber,2U,0.225,0.551,194907,0.651,0.0,0.224,-5.828,0.0594,144.875,0.562,0,8,4
2Yl4OmDby9iitgNWZPwxkd,hit,Cardi B,Be Careful,0.0256,0.82,210787,0.568,0.0,0.0952,-8.23,0.411,152.279,0.535,0,6,4
6IaieqiCVvsNvEt6Y7yOFa,non-hit,Post Malone Featuring Nicki Minaj,Ball For Me,0.513,0.797,206267,0.55,0.0,0.0786,-4.166,0.24,134.206,0.543,1,9,4
03eJ2DclFWXYU8GWgANdmZ,non-hit,XXXTENTACION,BAD!,0.334,0.799,150475,0.526,0.00174,0.0571,-5.153,0.0717,129.875,0.746,1,8,4
7jk7gqyEonmVVYahZN5zhW,hit,Britney Spears,Circus,0.147,0.791,192360,0.733,0.000381,0.0713,-5.215,0.052,114.98,0.761,0,6,4
27PmvZoffODNFW2p7ehZTQ,hit,Kent Jones,Don't Mind,0.0235,0.464,198237,0.771,0.0,0.063,-4.503,0.336,158.777,0.69,1,8,4
6fujklziTHa8uoM5OQSfIo,hit,Rae Sremmurd Featuring Gucci Mane,Black Beatles,0.142,0.794,291893,0.632,0.0,0.128,-6.163,0.0649,145.926,0.355,1,0,4
3GCdLUSnKSMJhs4Tj6CV3s,hit,Kendrick Lamar & SZA,All The Stars,0.0605,0.698,232187,0.633,0.000194,0.0926,-4.946,0.0597,96.924,0.552,1,8,4
2UVbBKQOdFAekPTRsnkzcf,hit,Migos,Stir Fry,0.00263,0.817,190288,0.816,0.0,0.159,-5.402,0.269,181.982,0.508,1,2,4
6PUIzlqotEmPuBfjbwYWOB,hit,Lana Del Rey & Cedric Gervais,Summertime Sadness,0.0157,0.572,214912,0.81,6.53e-06,0.13,-5.791,0.0558,126.052,0.11,0,1,4
08uGhvS5MfBk7crUCpnjva,hit,Jamie Foxx Featuring T-Pain,Blame It,0.0782,0.673,289747,0.614,0.0,0.139,-5.426,0.103,176.052,0.362,1,7,4
3dlCF1mzW1UKMOb4b1XN17,non-hit,Jake Owen,I Was Jack (You Were Diane),0.0819,0.603,187027,0.866,0.0,0.0521,-3.541,0.0443,94.057,0.543,1,6,4
2MWOqewf5j0qf2b6S5J6cS,non-hit,Train,Marry Me,0.834,0.461,205453,0.267,2.03e-05,0.107,-8.514,0.0278,87.918,0.481,1,0,4
0JmiBCpWc1IAc0et7Xm7FL,hit,Passenger,Let Her Go,0.365,0.479,252733,0.545,0.0,0.0963,-7.346,0.0688,74.897,0.244,1,7,4
2VIPU72L6tIR4w8J8ap6Kp,hit,Brett Young,Mercy,0.84,0.638,217120,0.367,0.0,0.0999,-7.906,0.0266,71.957,0.219,1,4,4
3wx2kQWPn9p5UppQbNhPAk,hit,Sam Hunt,Leave The Night On,0.0951,0.514,192160,0.951,0.0,0.349,-3.813,0.0603,171.96,0.838,1,9,4
43PuMrRfbyyuz4QpZ3oAwN,hit,Bryson Tiller,Exchange,0.108,0.53,194613,0.433,0.0,0.135,-10.598,0.185,160.14,0.274,1,6,4
4n0xztUAbHPUV8G3NQvF30,non-hit,Dan + Shay,How Not To,0.208,0.501,192000,0.836,0.0,0.152,-3.587,0.0491,159.863,0.618,0,11,4
3wxgj5N8ZKoZWHDw6FJUf2,non-hit,Eric Church,Like Jesus Does,0.439,0.576,198733,0.355,4.55e-05,0.13,-8.388,0.033,137.232,0.299,1,1,4
003eoIwxETJujVWmNFMoZy,non-hit,Alessia Cara,Growing Pains,0.0822,0.353,193680,0.755,0.0,0.39,-6.276,0.733,191.153,0.437,0,1,4
0nbaoA1FPNt1tRnbXB6FFa,non-hit,Sick Puppies,Maybe,0.0171,0.437,206120,0.913,0.0,0.284,-4.315,0.0972,167.861,0.537,1,7,4
7r6PigmGzlB3YPB7wvBBbi,non-hit,Jay Z Kanye West Featuring Frank Ocean,No Church In The Wild,0.244,0.654,272507,0.751,0.0179,0.167,-7.508,0.105,92.774,0.568,0,8,4
2rO28hRLDbsenVjeWvwqQz,non-hit,Tim McGraw Featuring Faith Hill,Meanwhile Back At Mama's,0.583,0.524,228107,0.679,5.79e-05,0.163,-8.68,0.0435,172.977,0.676,1,6,4
4frLb7nWtsz2ymBE6k2GRP,hit,The Weeknd,Earned It (Fifty Shades Of Grey),0.408,0.647,277680,0.291,0.0,0.0771,-8.275,0.0363,119.839,0.4,0,2,3
1vBeIXlzbAieGoDqInav5j,non-hit,Cardi B,Money Bag,0.107,0.947,229005,0.788,0.000691,0.108,-6.138,0.124,129.977,0.454,0,10,4
4O1uCappFiU3bisYUdUBWy,non-hit,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,I Am Who They Say I Am,0.21,0.722,200170,0.88,0.0,0.324,-3.989,0.24,92.024,0.79,0,4,4
5ArQzSBevAdXTxRY6Ulhbq,non-hit,Lukas Graham,Mama Said,0.0447,0.712,206903,0.799,6.4e-05,0.37,-4.564,0.0703,83.996,0.591,0,7,4
0Xm8tw6qikotb8FAOZ2ks7,non-hit,Hey Violet,Guys My Age,0.106,0.69,213695,0.663,0.0,0.0659,-5.248,0.0352,122.041,0.285,0,8,4
57gS5wJqIH6sbtBIIiioNY,non-hit,Blake Shelton,Gonna,0.0265,0.667,182947,0.886,0.0,0.0759,-5.12,0.0387,146.076,0.948,1,4,4
2rz6VejmNOpW1alXsDERp1,non-hit,Rick Ross Featuring John Legend,Magnificent,0.00733,0.631,257480,0.755,0.0,0.0889,-7.206,0.136,91.378,0.439,1,7,4
26AGhzVb4qXRy1QBMR7lzG,non-hit,Josh Kelley,Georgia Clay,0.048,0.612,183760,0.737,0.0,0.191,-5.051,0.033,106.871,0.512,1,6,4
3M31S6f0z8S3nkFh3eS06W,non-hit,Jerrod Niemann,Drink To That All Night,0.0325,0.639,224813,0.846,0.0,0.116,-6.184,0.0439,115.965,0.475,0,9,4
7a1538puknbXpg5LnYNwBX,non-hit,Craig Campbell,Family Man,0.162,0.554,219187,0.621,2.56e-05,0.155,-7.076,0.0269,155.817,0.151,1,11,4
1Dm4iAvqwYrZjgSFJNW5TG,non-hit,Carly Pearce,Every Little Thing,0.434,0.636,181053,0.428,1.02e-05,0.0903,-6.512,0.0375,139.919,0.32,1,0,4
1kFBLqkTuNKlspkJ1EOGjN,non-hit,Chris Janson,Drunk Girl,0.794,0.485,207267,0.306,0.0,0.122,-8.431,0.0409,203.729,0.224,1,0,4
75p6fgACKYIyIhsoG411SZ,non-hit,Kip Moore,Hey Pretty Girl,0.158,0.345,215920,0.375,1.22e-05,0.26,-10.762,0.0292,83.214,0.0898,1,2,1
5ctk3VJoHoURSiwkCJn2bf,non-hit,Miguel,How Many Drinks?,0.00311,0.379,272987,0.608,0.000614,0.248,-7.011,0.134,81.822,0.241,0,0,4
1wjzFQodRWrPcQ0AnYnvQ9,hit,Lauv,I Like Me Better,0.535,0.752,197437,0.505,2.55e-06,0.104,-7.621,0.253,91.97,0.419,1,9,4
3y1t2sEahs8idFz2tiYNPO,non-hit,Cole Swindell,Let Me See Ya Girl,0.254,0.523,187587,0.834,0.0,0.393,-3.561,0.0281,92.99,0.445,1,6,4
5A6BJLZArq1MPjsnmcuk5f,hit,MAX Featuring gnash,Lights Down Low,0.0632,0.623,223847,0.493,0.0,0.104,-7.727,0.0338,81.019,0.594,0,5,4
5k7KtLUFDlawcjyvo5NpnT,non-hit,Sage The Gemini Featuring Nick Jonas,Good Thing,0.0166,0.56,227120,0.719,0.0,0.11,-6.243,0.109,94.026,0.21,0,4,4
6hQNZOmjGuiJuArVQLSKro,non-hit,Big & Rich,Look At You,0.0681,0.503,223707,0.822,0.0,0.145,-4.941,0.0506,164.013,0.714,1,11,4
38gZVjeaeR3gcnCzziAxBm,non-hit,Cole Swindell,Middle Of A Memory,0.0972,0.531,226307,0.746,0.0,0.102,-4.228,0.0329,139.788,0.304,1,11,4
1KSqYYJFyfTecXFk9M0prc,non-hit,Wisin Featuring Ozuna,Escapate Conmigo,0.0256,0.744,232787,0.859,6.27e-05,0.0881,-3.166,0.0795,91.977,0.787,1,11,4
